,f1_cv,f1_test,acc_cv,acc_test,prec_cv,prec_test,rec_cv,rec_test,time_ms
XGBoost,0.9770502598347605,1.0,0.9925411868381354,1.0,0.9796907628486038,1.0,0.9769941979870208,1.0,3589.528621
RandomForest,0.9411962313871467,0.9733216299606342,0.9745982136189154,0.9884393063583815,0.9381835158898887,0.9875,0.9507237667524748,0.962219598583235,114.632622
ANN,0.9309095588256013,0.9510161443494778,0.9623160968469476,0.976878612716763,0.9348126760123462,0.9578948825875055,0.9328394359494837,0.9490617038463928,1836.377476
SVM_RBF,0.9103206184106114,0.9335254137115839,0.9270149064241012,0.9479768786127167,0.88000141155952,0.9037467700258398,0.9549895280158438,0.9723792953458025,118.072396
KNN_(K=3),0.824993325514569,0.8619321522611653,0.9272042239847051,0.9364161849710982,0.862103069880645,0.9051418439716312,0.8155017165184629,0.8381672155595601,66.074575
SVM_Linear,0.7140038208551809,0.7140431108258452,0.7872809965497153,0.8034682080924855,0.6542028990164805,0.646954986760812,0.8478807387898297,0.850975579444479,232.407596
NaiveBayes,0.4313901344318637,0.47858837108228236,0.6955079087690998,0.7109826589595376,0.5431765218986192,0.6136217948717948,0.56174806497773,0.5975812465046915,99.411152
